gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0.0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.018905472636815905,1609,1
0,0.0,1,0,0.8055555555555556,1,2,0,0,2,0,2,0,0,2,1,1,0.4144278606965174,3041,0
1,0.0,1,1,0.6805555555555556,1,0,0,2,2,0,2,0,0,0,0,1,0.41144278606965173,2567,0
0,0.0,0,0,0.4166666666666667,1,0,0,2,2,0,0,0,0,0,1,0,0.3686567164179104,959,0
1,0.0,1,1,0.6527777777777778,1,2,1,0,2,0,0,2,2,0,1,2,0.8069651741293532,4019,1
1,0.0,1,1,0.013888888888888888,0,1,0,0,2,0,0,0,0,0,0,2,0.11890547263681592,2592,1
1,0.0,1,0,1.0,1,2,0,2,2,2,2,2,2,2,1,1,0.7164179104477612,5135,0
0,0.0,0,1,0.2361111111111111,1,0,0,0,0,0,0,2,2,0,1,3,0.4621890547263682,184,1
0,1.0,1,0,0.9861111111111112,1,2,1,2,2,2,2,0,0,2,1,1,0.7771144278606965,5354,0
1,1.0,1,0,0.027777777777777776,1,0,1,0,0,2,0,2,2,0,1,1,0.7686567164179104,1360,0
0,0.0,1,1,0.375,1,0,0,2,2,2,2,0,0,1,0,3,0.47661691542288565,1449,0
1,0.0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,0,0.019402985074626858,1610,0
1,1.0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,0,0,0.26865671641791045,3815,0
0,0.0,1,1,1.0,1,2,1,2,2,0,2,2,0,2,0,0,0.8124378109452737,5644,0
1,0.0,0,0,0.06944444444444445,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,2742,1
0,0.0,0,0,0.6388888888888888,1,0,1,0,0,2,0,0,0,0,1,1,0.5626865671641791,3073,0
1,0.0,0,0,0.4722222222222222,1,2,1,0,2,2,0,2,2,0,1,2,0.8766169154228856,3074,1
0,0.0,0,0,0.1527777777777778,1,2,1,0,0,2,0,2,2,0,1,0,0.7920398009950248,202,1
1,0.0,1,1,0.1388888888888889,1,0,0,0,2,0,0,0,0,1,0,3,0.3114427860696517,4024,0
0,0.0,1,1,0.9722222222222222,1,2,0,2,2,0,0,2,0,2,1,1,0.5069651741293533,4118,0
0,0.0,1,1,0.2361111111111111,1,0,2,1,1,1,1,1,1,1,0,3,0.024875621890547265,3572,0
0,0.0,0,0,0.875,1,2,0,2,2,2,2,2,0,2,1,1,0.6129353233830845,4105,0
0,0.0,1,0,0.18055555555555555,1,2,0,2,2,0,2,2,0,0,1,2,0.5766169154228856,6503,0
0,0.0,0,0,0.6805555555555556,1,2,1,0,0,0,0,0,2,0,1,2,0.6592039800995025,3348,0
1,0.0,0,0,0.027777777777777776,1,0,0,0,2,0,0,0,0,0,0,3,0.30845771144278605,6481,0
0,0.0,0,0,0.027777777777777776,1,0,1,0,0,0,0,2,0,0,1,2,0.6208955223880598,809,1
1,0.0,0,0,0.7222222222222222,1,2,0,2,0,0,2,2,2,2,1,1,0.6119402985074627,3599,0
0,0.0,1,1,0.9583333333333334,1,2,0,2,0,2,2,0,0,2,1,1,0.4567164179104478,3625,0
0,1.0,0,0,0.5972222222222222,1,2,1,0,2,0,0,2,0,0,1,2,0.7164179104477612,3285,0
0,0.0,0,0,0.20833333333333334,1,0,1,2,2,0,0,2,2,0,1,1,0.8044776119402984,789,1
0,1.0,1,0,0.3472222222222222,1,2,0,2,0,0,2,2,0,0,1,1,0.5099502487562189,1275,0
0,1.0,1,0,0.1111111111111111,1,2,1,0,2,0,0,0,0,0,1,1,0.6208955223880598,5113,1
0,1.0,1,1,0.8333333333333334,1,0,0,2,2,2,2,0,2,1,1,1,0.56318407960199,3782,0
1,1.0,0,0,0.25,1,2,1,0,0,0,0,2,2,0,1,2,0.7681592039800995,1274,1
0,0.0,1,1,0.875,1,2,1,2,0,0,0,2,2,1,1,1,0.809950248756219,5104,0
1,1.0,1,1,0.9166666666666666,1,2,1,0,2,2,2,2,2,1,1,2,0.8975124378109453,5555,0
0,0.0,1,1,0.4722222222222222,1,2,2,1,1,1,1,1,1,2,0,1,0.06666666666666667,6314,0
0,0.0,0,0,1.0,1,2,1,0,0,2,2,2,2,2,1,1,0.8880597014925373,5937,0
0,0.0,1,0,0.6527777777777778,1,2,1,0,0,2,0,2,2,0,1,2,0.818407960199005,3985,0
1,0.0,0,0,0.8333333333333334,1,2,1,0,2,0,0,2,0,0,1,0,0.7129353233830846,4530,0
1,0.0,1,0,1.0,0,1,0,2,2,2,0,0,0,2,0,0,0.2373134328358209,2558,0
0,0.0,1,1,0.25,1,0,0,0,0,2,2,0,0,1,1,1,0.3597014925373134,6459,0
0,0.0,0,0,0.125,1,2,1,0,0,0,0,2,2,0,0,2,0.7577114427860697,6234,1
0,0.0,0,0,0.041666666666666664,1,0,0,0,2,0,2,2,2,0,1,2,0.5676616915422885,2086,0
1,0.0,1,0,0.6527777777777778,1,2,1,0,2,0,0,0,0,1,1,2,0.6034825870646767,3157,0
0,0.0,0,0,0.4305555555555556,1,0,0,0,2,2,2,2,2,2,0,3,0.6064676616915423,2143,0
0,0.0,1,1,0.6944444444444444,1,0,2,1,1,1,1,1,1,2,0,0,0.018905472636815905,6399,0
1,0.0,0,0,0.1388888888888889,1,0,1,2,0,2,0,0,0,0,1,3,0.6129353233830845,6290,0
1,0.0,0,0,0.013888888888888888,1,0,0,0,0,0,2,0,0,0,0,3,0.30646766169154227,4137,0
0,0.0,1,1,0.7222222222222222,1,0,2,1,1,1,1,1,1,1,1,2,0.021393034825870634,181,0
1,1.0,1,1,0.8888888888888888,1,2,1,2,0,2,2,2,2,2,1,0,0.9288557213930347,5563,0
1,0.0,1,1,0.8611111111111112,1,2,2,1,1,1,1,1,1,2,1,0,0.05970149253731343,785,0
0,0.0,0,1,0.041666666666666664,1,0,0,2,0,0,2,0,2,0,1,0,0.4601990049751244,1295,0
0,1.0,0,0,0.7777777777777778,1,2,1,2,2,2,0,2,2,1,0,2,0.917910447761194,5009,0
0,0.0,0,0,0.6388888888888888,1,0,0,0,0,0,0,0,2,1,0,1,0.37213930348258706,2339,0
0,0.0,1,1,0.1111111111111111,1,0,0,2,2,0,0,0,0,0,0,3,0.36218905472636814,4071,0
1,1.0,0,0,0.4166666666666667,1,0,0,2,2,0,0,2,2,0,1,2,0.5621890547263682,1742,0
0,0.0,1,1,0.625,1,2,2,1,1,1,1,1,1,1,1,1,0.07611940298507461,397,0
0,0.0,0,1,0.013888888888888888,1,0,1,0,0,0,0,2,0,0,1,2,0.6079601990049751,5966,1
0,0.0,1,1,0.1527777777777778,0,1,0,2,0,0,0,2,2,0,0,2,0.3213930348258706,4676,0
0,0.0,1,0,0.09722222222222222,1,0,1,0,0,2,0,0,0,0,1,0,0.5661691542288558,4199,1
0,0.0,0,0,0.5833333333333334,1,0,1,0,2,2,2,2,2,0,1,0,0.8512437810945274,3682,0
0,0.0,1,0,0.6805555555555556,1,0,2,1,1,1,1,1,1,2,1,0,0.018905472636815905,6491,0
1,0.0,0,0,0.125,1,2,1,0,2,0,0,2,2,0,1,1,0.8064676616915423,6364,0
0,0.0,1,0,0.4861111111111111,1,0,0,2,0,0,0,2,0,1,1,0,0.4368159203980099,1852,0
0,0.0,1,1,0.6666666666666666,1,0,2,1,1,1,1,1,1,2,0,0,0.02388059701492536,108,0
0,0.0,1,1,0.6388888888888888,1,0,2,1,1,1,1,1,1,2,1,3,0.016915422885572132,6382,0
1,0.0,1,0,0.4027777777777778,0,1,0,0,0,0,0,2,0,0,0,3,0.15422885572139303,19,0
1,0.0,1,1,0.4166666666666667,1,0,1,0,2,2,0,0,0,0,0,0,0.6348258706467661,2229,0
1,1.0,0,0,0.013888888888888888,1,0,1,0,0,0,2,0,0,0,0,2,0.5616915422885572,5723,0
1,0.0,1,1,0.9166666666666666,1,2,0,2,0,2,2,2,2,2,1,3,0.654228855721393,4717,0
0,0.0,0,0,0.9027777777777778,1,2,1,2,2,2,0,2,2,0,1,1,0.9233830845771144,5575,0
1,0.0,0,0,1.0,1,2,1,0,2,2,0,2,2,2,1,0,0.8223880597014926,5751,0
0,0.0,0,0,0.16666666666666666,1,2,1,2,0,0,0,0,0,0,1,2,0.6039800995024875,6384,1
1,0.0,1,1,0.9861111111111112,1,2,0,2,2,0,2,0,0,1,1,1,0.48358208955223875,4018,0
1,0.0,0,0,0.06944444444444445,1,0,2,1,1,1,1,1,1,0,0,3,0.027860696517412943,252,1
1,0.0,0,0,0.7222222222222222,1,0,2,1,1,1,1,1,1,2,0,0,0.02736318407960199,203,0
0,1.0,1,0,0.3472222222222222,1,0,1,0,2,2,0,2,2,0,1,2,0.7985074626865671,2175,1
1,0.0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.019402985074626858,1610,0
0,0.0,1,1,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,2,0.01194029850746268,1483,0
1,0.0,0,0,0.5277777777777778,1,2,1,0,0,2,2,2,0,1,0,0,0.763681592039801,3122,0
0,1.0,1,0,0.9166666666666666,0,1,0,0,2,2,0,2,0,1,0,0,0.2716417910447761,2630,0
1,0.0,1,0,0.9444444444444444,1,2,1,0,2,2,2,2,2,2,1,0,0.9129353233830846,5833,1
1,0.0,0,0,0.06944444444444445,0,1,0,0,0,0,0,0,0,0,0,3,0.060199004975124384,1,0
0,0.0,1,1,1.0,1,2,1,2,2,0,0,2,2,1,1,2,0.854726368159204,5672,0
0,0.0,0,0,0.4444444444444444,0,1,0,2,0,0,0,0,0,1,0,3,0.11840796019900496,6385,0
1,0.0,0,0,0.5972222222222222,1,2,1,0,0,0,0,2,2,1,0,3,0.7572139303482587,3358,0
1,0.0,1,1,1.0,1,0,2,1,1,1,1,1,1,2,0,1,0.011442786069651727,658,0
1,0.0,1,0,0.7638888888888888,1,2,1,2,2,0,0,2,0,0,1,2,0.7810945273631841,4391,1
0,0.0,0,0,0.7222222222222222,1,0,0,2,0,2,2,0,0,1,0,1,0.3950248756218906,2642,0
0,0.0,0,0,0.5972222222222222,1,0,1,0,2,2,0,2,0,0,1,2,0.7303482587064677,3380,0
0,1.0,1,0,0.5138888888888888,1,2,1,0,0,0,0,0,0,0,1,2,0.5796019900497512,2475,1
0,0.0,1,1,0.8888888888888888,0,1,0,0,2,0,2,2,2,2,1,2,0.3616915422885572,2967,0
1,0.0,1,1,0.041666666666666664,1,0,1,2,2,0,0,2,0,0,0,2,0.7124378109452736,2128,0
0,0.0,0,0,0.5,0,1,0,2,0,0,0,0,0,2,0,0,0.127363184079602,240,0
0,0.0,1,1,0.1388888888888889,1,2,1,2,0,0,0,2,2,0,1,2,0.8159203980099502,124,1
0,0.0,0,0,0.5694444444444444,1,0,2,1,1,1,1,1,1,2,0,3,0.02388059701492536,6160,0
1,0.0,1,1,0.375,1,2,1,0,2,0,2,0,0,0,1,1,0.6661691542288557,1769,0
0,0.0,1,1,0.7777777777777778,1,2,1,0,0,2,0,2,2,1,1,1,0.8114427860696517,4581,0
0,0.0,0,0,0.08333333333333333,1,0,2,1,1,1,1,1,1,0,0,3,0.024378109452736312,230,0
1,0.0,0,0,0.041666666666666664,1,2,1,0,0,0,0,0,0,0,1,2,0.5587064676616916,1931,1
0,0.0,1,1,0.09722222222222222,1,0,0,2,0,0,0,0,0,0,0,3,0.3228855721393035,3039,0
0,0.0,1,1,0.05555555555555555,1,0,2,1,1,1,1,1,1,0,0,3,0.025870646766169167,5043,0
1,0.0,0,0,0.4583333333333333,1,0,1,2,0,0,2,2,0,2,1,2,0.7034825870646766,2632,0
0,1.0,0,0,0.375,1,2,1,0,0,2,0,0,0,0,1,2,0.5950248756218905,1755,1
1,0.0,1,0,1.0,1,2,2,1,1,1,1,1,1,2,1,0,0.052736318407960205,1228,0
1,0.0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.014925373134328358,1489,0
1,1.0,0,0,0.9861111111111112,0,1,0,2,2,0,0,2,2,1,1,2,0.3800995024875622,3403,0
0,0.0,0,0,0.18055555555555555,1,2,1,0,0,0,0,0,2,0,1,2,0.6736318407960199,394,0
0,0.0,1,1,0.3472222222222222,0,1,0,2,2,2,0,2,2,0,1,1,0.4014925373134329,912,1
1,0.0,0,0,0.9305555555555556,1,0,0,0,0,0,2,0,0,2,0,0,0.3213930348258706,2837,0
1,0.0,0,0,0.013888888888888888,0,1,0,0,0,0,0,0,2,0,1,2,0.1711442786069652,3032,1
1,0.0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,0,0,0,2,0.25970149253731345,6058,1
0,0.0,0,0,0.5972222222222222,1,2,2,1,1,1,1,1,1,2,1,1,0.07412935323383084,348,0
0,0.0,0,0,0.3194444444444444,1,0,1,2,0,0,0,0,0,0,1,0,0.5646766169154229,1304,0
0,0.0,1,1,0.8888888888888888,1,0,2,1,1,1,1,1,1,2,0,3,0.019402985074626858,510,0
1,0.0,0,1,0.7916666666666666,1,0,2,1,1,1,1,1,1,2,1,3,0.013432835820895536,319,0
0,1.0,1,0,0.013888888888888888,1,0,1,0,0,0,0,0,0,0,1,3,0.5194029850746269,5510,1
0,1.0,1,1,1.0,1,2,0,2,2,2,2,2,2,2,1,1,0.6945273631840796,5173,0
0,0.0,0,0,0.1111111111111111,1,2,0,2,0,0,2,0,2,0,0,2,0.5263681592039802,4664,1
0,0.0,1,0,0.8472222222222222,1,2,1,0,2,0,0,2,2,2,1,0,0.8238805970149253,4894,0
1,0.0,0,0,0.8888888888888888,1,2,1,2,2,0,0,0,0,1,1,1,0.6572139303482587,4419,0
1,1.0,1,0,0.9861111111111112,1,2,2,1,1,1,1,1,1,2,0,0,0.05671641791044776,1278,0
0,0.0,1,1,0.9027777777777778,1,2,1,2,2,0,2,2,0,2,1,1,0.8039800995024875,5168,0
1,0.0,0,0,0.041666666666666664,1,0,2,1,1,1,1,1,1,1,0,3,0.013432835820895536,4983,0
1,0.0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,1,2,0.272636815920398,3821,1
1,0.0,0,1,0.4166666666666667,1,0,0,0,2,2,0,2,0,1,0,1,0.4601990049751244,1528,0
1,0.0,1,1,0.20833333333333334,1,0,0,0,2,2,2,0,2,0,1,3,0.5099502487562189,141,0
0,0.0,1,1,0.1111111111111111,1,0,0,0,0,0,2,2,2,0,1,2,0.5004975124378109,4669,0
1,0.0,0,0,0.09722222222222222,1,2,1,0,0,0,0,2,2,0,0,3,0.763681592039801,5236,1
0,0.0,1,1,0.9722222222222222,1,2,1,2,2,2,0,2,2,1,1,1,0.8945273631840797,5988,0
1,0.0,1,1,0.8611111111111112,1,0,0,2,2,2,2,2,2,2,0,2,0.6751243781094527,4370,0
0,0.0,1,1,0.08333333333333333,1,0,2,1,1,1,1,1,1,0,0,3,0.014427860696517405,250,0
0,0.0,1,1,0.19444444444444445,1,0,1,0,0,0,0,0,2,0,1,0,0.6233830845771144,290,0
0,0.0,0,0,0.3055555555555556,1,2,1,0,0,0,0,2,0,0,1,0,0.6557213930348259,1378,0
1,0.0,1,1,0.3055555555555556,1,0,2,1,1,1,1,1,1,1,0,3,0.018905472636815905,3583,0
1,0.0,1,1,0.2222222222222222,1,0,0,2,0,2,0,2,0,2,0,3,0.4577114427860697,51,0
1,0.0,0,0,0.1388888888888889,1,2,2,1,1,1,1,1,1,2,0,0,0.07412935323383084,2166,0
0,0.0,0,1,0.18055555555555555,1,0,0,2,2,0,0,0,0,0,1,2,0.3756218905472637,5845,0
0,0.0,1,0,0.2777777777777778,1,2,1,2,0,0,0,0,0,0,0,2,0.6383084577114428,1047,1
0,0.0,0,0,0.027777777777777776,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,639,0
1,0.0,0,0,0.7361111111111112,1,2,0,0,2,2,2,0,2,2,1,0,0.5537313432835822,3383,0
0,0.0,1,1,0.1527777777777778,1,0,2,1,1,1,1,1,1,1,0,3,0.02338308457711444,1966,0
1,0.0,1,0,0.9583333333333334,1,0,2,1,1,1,1,1,1,2,0,3,0.01641791044776118,659,0
0,0.0,0,0,0.05555555555555555,1,0,1,0,0,0,0,0,0,0,1,0,0.5238805970149254,2373,1
1,0.0,1,0,1.0,1,2,0,2,2,2,2,2,2,2,1,0,0.7044776119402985,5071,0
1,1.0,1,0,0.8055555555555556,0,1,0,0,2,2,0,0,2,0,1,2,0.2691542288557214,2300,1
0,0.0,1,1,0.2222222222222222,1,0,2,1,1,1,1,1,1,0,0,2,0.021393034825870634,2790,0
1,0.0,1,0,0.5972222222222222,1,0,1,2,0,2,2,0,0,1,1,0,0.6567164179104478,3064,0
0,0.0,1,0,0.027777777777777776,1,2,1,0,0,2,2,2,2,0,1,2,0.8572139303482588,2066,1
1,0.0,1,0,0.19444444444444445,1,0,0,0,2,2,2,2,2,2,0,3,0.6338308457711443,339,0
0,0.0,1,0,0.7361111111111112,1,0,1,0,0,2,0,2,2,1,1,0,0.7621890547263681,4239,1
0,0.0,0,0,0.4444444444444444,1,0,2,1,1,1,1,1,1,1,0,0,0.02288557213930349,5230,0
0,0.0,1,0,0.4722222222222222,1,2,2,1,1,1,1,1,1,0,0,2,0.06417910447761194,5917,0
0,1.0,0,0,0.20833333333333334,1,2,1,0,0,0,0,0,0,0,1,3,0.5592039800995026,277,1
0,1.0,0,0,0.09722222222222222,1,0,1,2,0,0,0,0,0,0,0,0,0.5791044776119403,4260,1
0,0.0,1,1,0.20833333333333334,1,2,1,0,2,2,0,2,2,0,1,0,0.8666666666666666,1001,0
1,0.0,1,0,0.8472222222222222,1,0,2,1,1,1,1,1,1,1,1,1,0.02288557213930349,459,0
0,0.0,0,0,0.013888888888888888,0,1,0,0,2,0,0,0,0,0,0,0,0.11641791044776119,2507,1
0,0.0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,0,3,0.2691542288557214,3816,0
1,0.0,0,0,0.1111111111111111,1,2,1,0,0,0,0,0,2,0,0,0,0.6592039800995025,5278,1
1,0.0,1,1,0.4583333333333333,1,0,0,2,0,2,0,2,2,1,0,1,0.5621890547263682,2104,0
0,0.0,0,0,0.18055555555555555,1,0,1,0,2,2,0,0,0,0,1,2,0.6069651741293532,216,1
0,0.0,1,0,0.013888888888888888,0,1,0,0,0,0,0,0,0,0,1,2,0.06517412935323384,2044,1
1,0.0,0,0,0.2777777777777778,1,0,0,0,2,0,0,0,0,0,1,3,0.33383084577114425,48,0
1,0.0,0,0,0.041666666666666664,0,1,0,0,0,0,2,0,0,0,0,2,0.12089552238805969,6099,0
0,0.0,0,0,0.18055555555555555,1,0,2,1,1,1,1,1,1,1,0,2,0.013930348258706454,2090,0
0,0.0,1,0,0.5555555555555556,1,2,0,0,2,0,0,0,0,0,0,1,0.38159203980099504,2015,0
1,0.0,1,1,0.5972222222222222,1,2,0,2,0,0,2,0,2,1,1,1,0.5338308457711444,2757,0
1,0.0,1,0,0.08333333333333333,1,0,1,0,2,2,0,0,2,0,1,2,0.7238805970149254,4440,1
0,0.0,1,1,0.9583333333333334,1,0,2,1,1,1,1,1,1,2,0,0,0.014925373134328358,678,0
0,0.0,1,1,1.0,1,2,1,2,2,2,0,2,2,2,0,1,0.9099502487562189,6076,0
1,0.0,1,1,0.8194444444444444,1,0,2,1,1,1,1,1,1,2,0,1,0.010447761194029858,359,0
0,0.0,1,0,0.2777777777777778,1,0,1,2,2,0,2,2,0,0,1,2,0.7791044776119402,1502,0
1,0.0,1,1,0.3333333333333333,1,2,2,1,1,1,1,1,1,2,1,0,0.05820895522388061,4822,0
1,0.0,0,0,0.8194444444444444,1,2,1,0,2,2,2,2,2,0,1,2,0.9263681592039801,5218,0
1,0.0,1,1,1.0,1,2,1,0,2,2,2,2,2,2,1,0,0.9353233830845771,6038,0
1,0.0,0,1,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.024875621890547265,1621,0
0,0.0,1,0,0.375,1,0,1,2,0,0,2,2,2,1,1,1,0.8323383084577115,2333,0
0,0.0,0,0,0.19444444444444445,1,0,1,0,2,0,2,0,0,0,1,1,0.6149253731343284,218,0
1,0.0,1,1,0.9861111111111112,1,2,1,2,0,2,0,2,2,2,0,2,0.8686567164179104,5730,0
1,0.0,0,1,0.18055555555555555,1,0,1,0,0,0,0,2,0,0,1,1,0.5975124378109452,72,0
1,0.0,0,0,0.6111111111111112,1,0,1,0,0,0,0,0,0,0,0,1,0.5034825870646765,2552,0
0,0.0,0,0,0.4583333333333333,1,0,1,0,2,0,2,0,0,1,1,0,0.6139303482587065,2336,0
1,0.0,1,1,1.0,0,1,0,2,2,2,2,0,2,2,1,1,0.37014925373134333,3571,0
1,0.0,0,0,0.013888888888888888,1,0,1,0,0,0,0,0,2,0,0,2,0.6134328358208956,5974,1
0,0.0,0,0,0.2638888888888889,1,0,1,2,0,2,2,2,2,0,1,2,0.8791044776119402,1536,1
1,0.0,1,0,0.8888888888888888,1,0,1,0,2,2,2,2,2,1,1,1,0.8378109452736319,5291,0
1,0.0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,0,0,1,1,0.27611940298507465,6174,1
0,0.0,0,0,0.013888888888888888,0,1,0,0,0,0,0,0,0,0,0,2,0.06965174129353234,2152,0
1,0.0,0,1,0.8472222222222222,1,0,2,1,1,1,1,1,1,2,0,3,0.014925373134328358,237,0
0,0.0,1,1,0.4027777777777778,1,0,2,1,1,1,1,1,1,1,0,2,0.017412935323383085,4493,0
1,1.0,1,0,0.3194444444444444,1,2,1,0,0,0,0,0,2,0,0,2,0.682089552238806,1580,0
0,0.0,1,0,0.7916666666666666,0,1,0,2,2,2,0,2,2,0,1,0,0.40298507462686567,2976,0
1,0.0,1,1,1.0,0,1,0,2,2,2,2,0,0,2,0,1,0.26865671641791045,2727,0
1,0.0,1,0,0.9166666666666666,0,1,0,2,2,2,2,2,0,2,1,0,0.38159203980099504,3250,0
1,0.0,1,1,0.9027777777777778,1,2,0,0,2,2,2,2,2,2,1,0,0.6562189054726368,4450,0
0,0.0,0,0,0.1111111111111111,1,0,1,0,0,0,0,2,0,0,1,0,0.6144278606965174,5063,0
0,0.0,0,0,0.05555555555555555,1,0,1,0,0,0,0,0,0,0,1,2,0.5164179104477612,2329,1
0,0.0,1,0,0.9861111111111112,1,2,2,1,1,1,1,1,1,2,0,0,0.06467661691542288,1390,0
1,0.0,1,1,0.013888888888888888,1,0,2,1,1,1,1,1,1,1,1,2,0.019402985074626858,1610,0
1,0.0,1,0,0.05555555555555555,1,0,0,0,0,0,2,0,0,0,0,3,0.3164179104477612,1326,1
0,0.0,0,0,0.16666666666666666,1,0,2,1,1,1,1,1,1,1,1,0,0.01094527363184081,1807,0
1,0.0,0,0,0.3333333333333333,0,1,0,2,0,0,0,2,2,1,1,3,0.3218905472636816,525,0
0,0.0,1,1,0.4305555555555556,1,0,0,2,0,2,2,2,2,1,1,3,0.6258706467661692,2198,0
0,0.0,1,0,0.013888888888888888,1,0,0,0,0,0,0,2,0,0,0,3,0.36766169154228856,4560,1
1,0.0,0,0,0.4166666666666667,1,2,1,0,0,0,2,0,2,0,1,1,0.7129353233830846,2365,0
0,0.0,1,1,0.6527777777777778,1,2,0,2,2,0,2,2,2,2,1,1,0.6671641791044776,3495,0
1,0.0,0,0,0.75,1,2,1,2,2,0,2,2,2,2,1,1,0.8930348258706468,4756,0
1,0.0,0,0,0.6944444444444444,1,0,1,2,2,0,2,0,2,0,1,1,0.7487562189054726,4015,0
1,0.0,0,0,0.013888888888888888,1,0,1,2,0,0,0,0,2,0,1,3,0.6601990049751243,6175,1
0,0.0,0,0,1.0,1,0,2,1,1,1,1,1,1,2,0,1,0.01990049751243781,1016,0
0,0.0,0,0,0.4027777777777778,1,2,2,1,1,1,1,1,1,0,0,2,0.06865671641791044,5529,0
1,0.0,0,0,0.027777777777777776,1,2,0,0,2,0,0,0,0,0,1,3,0.3597014925373134,269,1
0,0.0,0,0,0.1388888888888889,0,1,0,0,0,0,2,0,0,2,1,3,0.1129353233830846,2583,0
1,0.0,1,0,0.25,1,2,1,0,0,0,0,0,0,0,1,2,0.546268656716418,561,0
0,1.0,0,0,0.1527777777777778,1,0,1,0,2,0,0,2,2,0,1,2,0.763681592039801,231,1
1,0.0,0,0,0.2222222222222222,1,0,2,1,1,1,1,1,1,2,0,3,0.014925373134328358,2456,0
0,0.0,0,0,1.0,1,2,0,0,2,2,2,2,2,2,0,0,0.6800995024875621,5128,0
1,0.0,0,0,1.0,1,2,1,0,2,2,2,2,2,2,0,0,0.9049751243781095,5946,0
0,0.0,1,1,0.5694444444444444,1,0,0,2,0,0,2,2,2,1,1,1,0.5616915422885572,2771,0
0,1.0,1,0,0.9027777777777778,1,0,1,2,2,2,0,0,2,0,0,2,0.7577114427860697,4999,0
